iter	MultiClass
236	0.6998008488
237	0.6997890392
238	0.6997764144
239	0.6997654192
240	0.6997527399
241	0.699741427
242	0.6997292391
243	0.6997173817
244	0.6997039938
245	0.6996904693
246	0.6996775162
247	0.6996585937
248	0.6996469559
249	0.6995804134
250	0.6995676147
251	0.6995548114
252	0.699542556
253	0.6995322195
254	0.6995204116
255	0.6995085678
256	0.6994974555
257	0.6994739357
258	0.6994286204
259	0.6994110039
260	0.6993987711
261	0.6993850552
262	0.6993729605
263	0.6993599109
264	0.699345139
265	0.6993341796
266	0.6993212895
267	0.6993085915
268	0.6992956268
269	0.699276995
270	0.6992550515
271	0.6992431682
272	0.6992302247
273	0.6992185048
274	0.6992056125
275	0.6988923695
276	0.698880461
277	0.6988663451
278	0.6988150369
279	0.698803312
280	0.6987904591
281	0.6987784612
282	0.6987650247
283	0.6987497207
284	0.6987388446
285	0.6987257823
286	0.6987148155
287	0.6987048529
288	0.6986532352
289	0.6986419831
290	0.6986298574
291	0.6986185733
292	0.698605399
293	0.6985932429
294	0.6985817001
295	0.6985702991
296	0.6985575037
297	0.6985445487
298	0.6985321333
299	0.6985196669
300	0.6985085484
301	0.6984959477
302	0.6984827074
303	0.6984717436
304	0.6984599073
305	0.6984330791
306	0.6984193667
307	0.6984070328
308	0.6983951605
309	0.6983835604
310	0.6983711461
311	0.6983497092
312	0.6983371621
313	0.6983250846
314	0.6982983937
315	0.6982867254
316	0.698273973
317	0.6982601267
318	0.6982396413
319	0.6982260257
320	0.6982136112
321	0.6982005479
322	0.6981865846
323	0.698174514
324	0.6981621738
325	0.6981522559
326	0.6981396139
327	0.6981264345
328	0.6981146387
329	0.698102962
330	0.6980912238
331	0.6980804226
332	0.6980683397
333	0.6979797586
334	0.6979682475
335	0.6979589319
336	0.6979463379
337	0.6979339432
338	0.6979238111
339	0.6977149231
340	0.6977001677
341	0.6976794463
342	0.6976652157
343	0.6976538961
344	0.6976427785
345	0.6976306402
346	0.6976190372
347	0.6976058327
348	0.69759173
349	0.6975790765
350	0.6975668282
351	0.6975532246
352	0.6975418603
353	0.6975293369
354	0.6975178887
355	0.697505462
356	0.6974939098
357	0.6974792585
358	0.6974532656
359	0.6974404613
360	0.697421141
361	0.6974103473
362	0.6973966381
363	0.6973848667
364	0.6973712482
365	0.6973555164
366	0.6973438673
367	0.6973307695
368	0.697318852
369	0.6973055251
370	0.6972916303
371	0.6972793237
372	0.6972672974
373	0.6972554946
374	0.6972442463
375	0.6972332771
376	0.6972199348
377	0.6972079823
378	0.6971957367
379	0.6971828679
380	0.6971704625
381	0.6971574018
382	0.6971442345
383	0.6971311791
384	0.6970801807
385	0.6970675564
386	0.6970564805
387	0.6970398936
388	0.6970299051
389	0.6969688563
390	0.696953363
391	0.6969410353
392	0.6969272211
393	0.6969141663
394	0.6968991533
395	0.6968821412
396	0.6968703805
397	0.6968574684
398	0.6968450209
399	0.6968320819
400	0.6968183796
401	0.6968063077
402	0.696795047
403	0.6967840551
404	0.6967714404
405	0.6967595313
406	0.6967472393
407	0.6967329266
408	0.6967198515
409	0.6967071682
410	0.6966954018
411	0.696683375
412	0.6966717468
413	0.6966615157
414	0.6966488712
415	0.6965803185
416	0.6965660444
417	0.6965053482
418	0.6964917859
419	0.6964778472
420	0.6964646198
421	0.696451094
422	0.6964392685
423	0.6964267286
424	0.6964149976
425	0.6964036408
426	0.6963914709
427	0.6963786469
428	0.6963668493
429	0.6963536805
430	0.6963424311
431	0.6963310504
432	0.6963187838
433	0.6963070973
434	0.6962963352
435	0.6962865754
436	0.6962744999
437	0.6962495948
438	0.6962340411
439	0.6962224261
440	0.6962090907
441	0.696197295
442	0.6961864741
443	0.6961737363
444	0.6961625242
445	0.6961491902
446	0.6961357906
447	0.6961253525
448	0.6961138515
449	0.6961029674
450	0.696090842
451	0.6960813982
452	0.6960685497
453	0.6960565235
454	0.6960439185
455	0.6960312262
456	0.6960178653
457	0.6960064434
458	0.6959949093
459	0.6959832783
460	0.6959694655
461	0.695956894
462	0.6959366814
463	0.6959243533
464	0.6959120644
465	0.6959011665
466	0.6958901093
467	0.6958718111
468	0.6958605938
469	0.6958420714
470	0.6958304217
471	0.695818508
472	0.6958054101
473	0.6957921687
474	0.6957730366
475	0.6957542885
476	0.6957422853
477	0.6957293397
478	0.6957172083
479	0.6957053028
480	0.6956941459
481	0.6956811476
482	0.695667477
483	0.6956543862
484	0.6956435412
485	0.6956313004
486	0.6956195131
487	0.6955903582
488	0.6955773783
489	0.6955659543
490	0.6953831683
491	0.6953710741
492	0.6953599627
493	0.6953466242
494	0.695335361
495	0.6953229625
496	0.6952671568
497	0.6952554822
498	0.6952437716
499	0.6952311403
500	0.695220736
501	0.6952094368
502	0.69519688
503	0.6951805535
504	0.6951219024
505	0.6951092638
506	0.6950983125
507	0.6950576374
508	0.6950441987
509	0.6950156659
510	0.6950031479
511	0.6949914737
512	0.6949803014
513	0.6949668698
514	0.6949541332
515	0.694941164
516	0.6949295941
517	0.6949170956
518	0.6949049561
519	0.6948927558
520	0.6948820361
521	0.6948695756
522	0.6948560808
523	0.6948331107
524	0.6948211386
525	0.694810243
526	0.6947989475
527	0.6947868812
528	0.6947750016
529	0.6947640635
530	0.6947526926
531	0.6947411309
532	0.6947286699
533	0.6947156281
534	0.6947046826
535	0.6946907893
536	0.6946797044
537	0.6946677806
538	0.6946560294
539	0.6946443186
540	0.6946267702
541	0.6946136204
542	0.6946006374
543	0.6945884583
544	0.6945766192
545	0.6945647349
546	0.6945522643
547	0.6945402247
548	0.6945265413
549	0.6945102058
550	0.6944969928
551	0.6944845413
552	0.6944726651
553	0.6944599253
554	0.6944477681
555	0.6944337492
556	0.6944241873
557	0.694410526
558	0.694397922
559	0.6943854254
560	0.6943701934
561	0.6943587729
562	0.6943449211
563	0.6943247777
564	0.6943105325
565	0.6942966543
566	0.6942862451
567	0.6942610235
568	0.6942478959
569	0.6942359957
570	0.6942180189
571	0.6942062944
572	0.6941943723
573	0.6941823752
574	0.6941701551
575	0.6941571573
576	0.6941448462
577	0.6941315532
578	0.6941196466
579	0.694107264
580	0.6940945176
581	0.6940820422
582	0.6940708241
583	0.6940585552
584	0.6940467827
585	0.6940334985
586	0.6940139322
587	0.6940026931
588	0.693986932
589	0.6939761782
590	0.6939639924
591	0.6939524548
592	0.6939389287
593	0.6939132933
594	0.6939034561
595	0.6938921062
596	0.6938799654
597	0.6938622724
598	0.693850464
599	0.6938380635
600	0.693826429
601	0.6938148918
602	0.693802227
603	0.6937889138
604	0.6937774796
605	0.6937656416
606	0.6937526004
607	0.6937414219
608	0.693728031
609	0.6937140861
610	0.6937029483
611	0.6936863068
612	0.6936705941
613	0.6936575541
614	0.6936452996
615	0.6936331726
616	0.693622351
617	0.6936095167
618	0.6935980697
619	0.693584926
620	0.6935686615
621	0.6935518751
622	0.6935408691
623	0.6935224983
624	0.693509976
625	0.693498767
626	0.6934859138
627	0.6934736892
628	0.6934623665
629	0.6934500953
630	0.6934372608
631	0.6934250048
632	0.6934106532
633	0.693399397
634	0.6933880211
635	0.6933765986
636	0.6933653849
637	0.6933536319
638	0.6933407075
639	0.6933288683
640	0.693317417
641	0.693304702
642	0.6932912918
643	0.6932790907
644	0.6932660106
645	0.6932535395
646	0.6932411654
647	0.6932283137
648	0.6932136759
649	0.6932030906
650	0.6931905834
651	0.693179844
652	0.6931671203
653	0.6931553737
654	0.6931398618
655	0.6931278734
656	0.6931137981
657	0.6930974168
658	0.6930842507
659	0.6930324802
660	0.6930207978
661	0.6930082513
662	0.6929961991
663	0.6929836486
664	0.6929724854
665	0.6929607705
666	0.6929493446
667	0.6929374195
668	0.6929244148
669	0.6929127062
670	0.6928993097
671	0.6928873906
672	0.6928759562
673	0.6928616513
674	0.6928496346
675	0.6928378148
676	0.6928255639
677	0.6928086679
678	0.692796872
679	0.6927844364
680	0.6927718238
681	0.6927603454
682	0.692720417
683	0.6927018
684	0.6926895093
685	0.6926775154
686	0.6926676407
687	0.6926564865
688	0.6926429117
689	0.6926296632
690	0.6926178968
691	0.692606143
692	0.6925946569
693	0.6925847636
694	0.6925735855
695	0.692262662
696	0.6922496715
697	0.6922375053
698	0.6922249461
699	0.6922118923
700	0.6921969893
701	0.6921413093
702	0.6921297888
703	0.6921170578
704	0.6921041852
705	0.6920887395
706	0.6920774339
707	0.6920659685
708	0.6920546978
709	0.6920426824
710	0.6920216728
711	0.6920109074
712	0.6919985801
713	0.6919882718
714	0.6918468101
715	0.6918337992
716	0.6918180642
717	0.6918059173
718	0.6917944588
719	0.6917828737
720	0.691770932
721	0.6917597074
722	0.6917472965
723	0.691735862
724	0.6917237806
725	0.691698689
726	0.6916859395
727	0.6916733724
728	0.6916615852
729	0.6916495275
730	0.6916112531
731	0.6915997906
732	0.6915885847
733	0.6915765727
734	0.6915637733
735	0.6915521436
736	0.6915397755
737	0.6915257562
738	0.691513798
739	0.6915013699
740	0.6914905031
741	0.691478347
742	0.6914671148
743	0.6914538366
744	0.691440775
745	0.6914283083
746	0.6914164543
747	0.6914032665
748	0.6913932407
749	0.691377815
750	0.6913650846
751	0.6913535113
752	0.6913401843
753	0.6913294169
754	0.6913173846
755	0.6913063104
756	0.6912955356
757	0.6912842166
758	0.6912721192
759	0.6912605034
760	0.691247477
761	0.691230948
762	0.6912188096
763	0.6912058821
764	0.6911931539
765	0.6911836607
766	0.6911726414
767	0.691159979
768	0.6911493553
769	0.6911312289
770	0.6911197238
771	0.6911066456
772	0.6910949524
773	0.6910823333
774	0.6910697831
775	0.6910532496
776	0.6910425057
777	0.6910306349
778	0.6904836051
779	0.6904693608
780	0.6904546368
781	0.6904416731
782	0.6904225736
783	0.6904099317
784	0.6903987849
785	0.6903875072
786	0.6903422954
787	0.6903302408
788	0.6903200014
789	0.6903081877
790	0.690296568
791	0.6902719052
792	0.6902594921
793	0.6902464337
794	0.6902361563
795	0.6902179592
796	0.6902058529
797	0.6901958661
798	0.6901839568
799	0.6901727776
800	0.6901598024
801	0.690146671
802	0.6901335995
803	0.6901214796
804	0.6901076239
805	0.69009641
806	0.6900862745
807	0.6900758836
808	0.6900646662
809	0.6900528505
810	0.6900410403
811	0.6900308835
812	0.6900207396
813	0.690004068
814	0.6899919168
815	0.6899813093
816	0.6899698151
817	0.6899581205
818	0.6899457003
819	0.6899343746
820	0.6899215067
821	0.6899097676
822	0.6898986185
823	0.6898859719
824	0.6898751638
825	0.6898622487
826	0.6898500462
827	0.6898346488
828	0.6898213177
829	0.6898106637
830	0.6897943436
831	0.6897826175
832	0.6897698192
833	0.6897573332
834	0.6897471448
835	0.6897352872
836	0.6897241302
837	0.6897118032
838	0.6896991717
839	0.6896848744
840	0.6896717191
841	0.6896591368
842	0.6896471124
843	0.6896351638
844	0.6896237731
845	0.6896124259
846	0.6895616557
847	0.6893504161
848	0.6893387926
849	0.6893147994
850	0.689260194
851	0.6892490535
852	0.6892384706
853	0.689227634
854	0.6892160567
855	0.6892053771
856	0.6891931145
857	0.6891811683
858	0.6891711815
859	0.6891597074
860	0.6891484837
861	0.6891363792
862	0.689125359
863	0.6891104585
864	0.6891003087
865	0.689088523
866	0.6890460645
867	0.6890351239
868	0.6890258897
869	0.6890142828
870	0.6890035987
871	0.688992875
872	0.6889816453
873	0.6889683611
874	0.6889580233
875	0.6889461549
876	0.6889346376
877	0.6889222556
878	0.6889099138
879	0.6888964075
880	0.6888855201
881	0.6888734807
882	0.6888610585
883	0.6888508039
884	0.6888375825
885	0.6888255666
886	0.6888121675
887	0.6887999808
888	0.6887855469
889	0.6887732225
890	0.6887615364
891	0.6887499548
892	0.6887391545
893	0.6887269482
894	0.6887137516
895	0.6887009582
896	0.6886902717
897	0.6886659765
898	0.688653441
899	0.6886416436
900	0.688630867
901	0.688618512
902	0.6886068893
903	0.6885940721
904	0.6885824245
905	0.6885714975
906	0.6885602266
907	0.6885488752
908	0.6885370568
909	0.6885245449
910	0.6885134146
911	0.6885029306
912	0.6884906191
913	0.6884756005
914	0.688463076
915	0.688450983
916	0.6884390158
917	0.6884278616
918	0.6884167486
919	0.688404605
920	0.6883918516
921	0.6883795843
922	0.6883663097
923	0.6883540526
924	0.6883426094
925	0.6883309928
926	0.6883188645
927	0.6883063649
928	0.6882933196
929	0.6882806429
930	0.6882692336
931	0.6882595019
932	0.6882489194
933	0.6882355677
934	0.6882230875
935	0.6882109602
936	0.6881965915
937	0.6881841135
938	0.688172832
939	0.6881602186
940	0.6881466971
941	0.6881349398
942	0.688123491
943	0.6881121871
944	0.6881018317
945	0.6880895773
946	0.6880789515
947	0.6880610783
948	0.6880478369
949	0.6880263368
950	0.6880140751
951	0.6880012057
952	0.6879890117
953	0.6879773801
954	0.6879659391
955	0.6879535686
956	0.6879412967
957	0.6879309215
958	0.6879195857
959	0.6879079542
960	0.6878958404
961	0.6878832853
962	0.6878698219
963	0.6878556004
964	0.6878435131
965	0.6878314605
966	0.6878203775
967	0.687808868
968	0.6877754876
969	0.6877613599
970	0.6877495222
971	0.6877397493
972	0.6877258566
973	0.6877131879
974	0.6876993034
975	0.6876891172
976	0.6876780839
977	0.6876667877
978	0.6876541985
979	0.6876431592
980	0.6876299276
981	0.6876190549
982	0.6876066885
983	0.6875946667
984	0.6875843855
985	0.6875737778
986	0.6875612453
987	0.6875492178
988	0.687537651
989	0.687525375
990	0.6875130371
991	0.6875006052
992	0.6874892666
993	0.6874755161
994	0.6874604508
995	0.6874475511
996	0.687434294
997	0.6874234936
998	0.6874133623
999	0.6874028012
