iter	Passed	Remaining
277	5237	13601
278	5255	13580
279	5272	13558
280	5290	13537
281	5309	13518
282	5327	13498
283	5347	13481
284	5366	13462
285	5385	13443
286	5403	13423
287	5421	13404
288	5439	13382
289	5457	13362
290	5475	13341
291	5493	13319
292	5511	13298
293	5529	13277
294	5548	13260
295	5567	13241
296	5584	13219
297	5602	13198
298	5620	13178
299	5638	13155
300	5656	13136
301	5674	13115
302	5692	13095
303	5711	13076
304	5728	13054
305	5748	13038
306	5767	13018
307	5785	12997
308	5804	12979
309	5822	12959
310	5839	12937
311	5857	12916
312	5875	12895
313	5893	12875
314	5912	12856
315	5930	12837
316	5948	12815
317	5967	12798
318	5987	12781
319	6005	12762
320	6024	12742
321	6042	12722
322	6061	12705
323	6081	12688
324	6100	12669
325	6119	12650
326	6136	12630
327	6153	12608
328	6171	12585
329	6189	12566
330	6208	12547
331	6226	12528
332	6245	12509
333	6263	12489
334	6281	12469
335	6300	12451
336	6319	12432
337	6338	12413
338	6355	12393
339	6375	12376
340	6395	12359
341	6413	12339
342	6431	12318
343	6449	12298
344	6466	12277
345	6484	12256
346	6502	12237
347	6520	12217
348	6539	12198
349	6557	12178
350	6574	12156
351	6593	12137
352	6611	12118
353	6630	12099
354	6648	12080
355	6666	12060
356	6685	12040
357	6703	12020
358	6720	11999
359	6738	11979
360	6757	11960
361	6775	11941
362	6794	11922
363	6813	11904
364	6831	11884
365	6849	11864
366	6867	11844
367	6884	11823
368	6903	11804
369	6922	11786
370	6940	11767
371	6959	11748
372	6976	11728
373	6995	11709
374	7014	11690
375	7032	11671
376	7050	11650
377	7068	11631
378	7085	11610
379	7105	11592
380	7122	11572
381	7139	11550
382	7157	11531
383	7175	11511
384	7193	11491
385	7212	11472
386	7231	11454
387	7249	11434
388	7267	11414
389	7284	11394
390	7304	11377
391	7323	11358
392	7341	11338
393	7358	11318
394	7377	11299
395	7395	11279
396	7413	11260
397	7433	11244
398	7452	11224
399	7469	11204
400	7487	11184
401	7505	11165
402	7523	11145
403	7541	11126
404	7560	11106
405	7577	11086
406	7595	11066
407	7613	11047
408	7632	11029
409	7650	11009
410	7668	10989
411	7686	10970
412	7705	10951
413	7723	10932
414	7741	10912
415	7759	10893
416	7778	10874
417	7797	10856
418	7815	10837
419	7835	10819
420	7854	10801
421	7871	10781
422	7889	10762
423	7908	10743
424	7925	10722
425	7944	10704
426	7963	10685
427	7982	10668
428	8000	10649
429	8019	10630
430	8039	10614
431	8058	10596
432	8077	10576
433	8094	10556
434	8113	10537
435	8131	10518
436	8149	10498
437	8166	10478
438	8184	10459
439	8202	10439
440	8220	10420
441	8239	10401
442	8257	10382
443	8276	10363
444	8294	10344
445	8313	10326
446	8331	10307
447	8349	10287
448	8367	10268
449	8385	10249
450	8403	10230
451	8422	10211
452	8444	10197
453	8463	10178
454	8481	10159
455	8498	10138
456	8517	10120
457	8534	10100
458	8553	10081
459	8570	10061
460	8588	10041
461	8606	10022
462	8624	10003
463	8644	9985
464	8662	9966
465	8680	9947
466	8698	9927
467	8716	9908
468	8735	9889
469	8753	9870
470	8770	9850
471	8789	9831
472	8807	9813
473	8827	9795
474	8846	9777
475	8864	9758
476	8882	9739
477	8901	9720
478	8919	9701
479	8937	9682
480	8956	9663
481	8974	9644
482	8993	9626
483	9012	9607
484	9029	9588
485	9048	9570
486	9066	9550
487	9084	9531
488	9102	9512
489	9120	9493
490	9138	9473
491	9156	9454
492	9175	9435
493	9192	9415
494	9210	9396
495	9228	9377
496	9248	9359
497	9266	9340
498	9284	9321
499	9302	9302
500	9321	9284
501	9338	9264
502	9357	9245
503	9374	9226
504	9393	9207
505	9411	9188
506	9429	9169
507	9447	9150
508	9466	9131
509	9484	9112
510	9502	9092
511	9520	9074
512	9539	9056
513	9558	9037
514	9576	9018
515	9594	8999
516	9612	8980
517	9630	8961
518	9648	8941
519	9666	8922
520	9685	8904
521	9702	8885
522	9721	8866
523	9739	8847
524	9758	8828
525	9775	8809
526	9793	8790
527	9811	8771
528	9829	8752
529	9848	8733
530	9865	8713
531	9884	8695
532	9903	8676
533	9923	8659
534	9943	8642
535	9962	8623
536	9980	8604
537	9997	8585
538	10015	8566
539	10032	8546
540	10050	8527
541	10068	8508
542	10086	8489
543	10106	8471
544	10124	8452
545	10141	8432
546	10159	8413
547	10177	8394
548	10195	8375
549	10214	8357
550	10231	8337
551	10249	8318
552	10266	8298
553	10285	8280
554	10304	8262
555	10323	8243
556	10341	8224
557	10359	8206
558	10377	8186
559	10395	8167
560	10414	8149
561	10431	8129
562	10449	8111
563	10467	8092
564	10485	8072
565	10502	8053
566	10521	8034
567	10540	8016
568	10557	7997
569	10575	7978
570	10593	7958
571	10610	7939
572	10627	7919
573	10645	7900
574	10663	7881
575	10681	7862
576	10698	7843
577	10717	7824
578	10734	7805
579	10753	7787
580	10771	7768
581	10788	7748
582	10806	7729
583	10823	7710
584	10841	7691
585	10858	7671
586	10876	7652
587	10894	7633
588	10913	7615
589	10932	7597
590	10951	7578
591	10969	7560
592	10988	7541
593	11005	7522
594	11023	7503
595	11041	7484
596	11058	7464
597	11075	7445
598	11093	7426
599	11110	7406
600	11128	7388
601	11145	7368
602	11163	7349
603	11181	7331
604	11199	7311
605	11218	7293
606	11235	7274
607	11253	7255
608	11271	7236
609	11289	7218
610	11308	7199
611	11326	7181
612	11345	7162
613	11362	7143
614	11381	7125
615	11400	7106
616	11418	7088
617	11436	7069
618	11453	7049
619	11471	7030
620	11488	7011
621	11506	6992
622	11524	6973
623	11541	6954
624	11558	6935
625	11576	6916
626	11594	6897
627	11613	6879
628	11633	6861
629	11653	6843
630	11670	6824
631	11688	6806
632	11706	6787
633	11724	6768
634	11743	6750
635	11760	6731
636	11778	6712
637	11797	6693
638	11816	6675
639	11833	6656
640	11851	6637
641	11869	6619
642	11887	6599
643	11905	6581
644	11924	6563
645	11942	6544
646	11961	6525
647	11979	6507
648	11997	6488
649	12017	6470
650	12035	6452
651	12053	6433
652	12071	6414
653	12088	6395
654	12106	6376
655	12124	6357
656	12141	6338
657	12159	6319
658	12178	6301
659	12196	6282
660	12214	6264
661	12232	6245
662	12251	6227
663	12269	6208
664	12287	6189
665	12305	6171
666	12323	6152
667	12341	6133
668	12360	6115
669	12379	6097
670	12397	6078
671	12415	6060
672	12434	6041
673	12452	6023
674	12470	6004
675	12489	5985
676	12506	5966
677	12523	5947
678	12540	5928
679	12557	5909
680	12574	5890
681	12592	5871
682	12610	5852
683	12628	5834
684	12647	5815
685	12665	5797
686	12683	5778
687	12701	5759
688	12719	5741
689	12737	5722
690	12755	5703
691	12772	5685
692	12790	5666
693	12808	5647
694	12826	5628
695	12844	5610
696	12864	5592
697	12881	5573
698	12899	5554
699	12917	5536
700	12936	5517
701	12955	5499
702	12972	5480
703	12989	5461
704	13007	5442
705	13026	5424
706	13042	5405
707	13060	5386
708	13077	5367
709	13096	5349
710	13114	5330
711	13133	5312
712	13151	5293
713	13168	5274
714	13187	5256
715	13204	5237
716	13222	5219
717	13240	5200
718	13257	5181
719	13276	5162
720	13293	5144
721	13312	5125
722	13330	5107
723	13348	5088
724	13365	5069
725	13384	5051
726	13401	5032
727	13419	5013
728	13437	4995
729	13455	4976
730	13472	4957
731	13490	4939
732	13509	4920
733	13527	4902
734	13545	4883
735	13562	4864
736	13579	4845
737	13597	4827
738	13615	4808
739	13632	4789
740	13650	4771
741	13668	4752
742	13686	4733
743	13703	4715
744	13723	4697
745	13742	4678
746	13760	4660
747	13778	4642
748	13796	4623
749	13815	4605
750	13833	4586
751	13851	4568
752	13869	4549
753	13887	4530
754	13905	4512
755	13923	4493
756	13943	4475
757	13961	4457
758	13978	4438
759	13995	4419
760	14014	4401
761	14031	4382
762	14049	4363
763	14066	4345
764	14084	4326
765	14100	4307
766	14118	4288
767	14137	4270
768	14156	4252
769	14173	4233
770	14190	4214
771	14209	4196
772	14226	4177
773	14244	4159
774	14262	4140
775	14279	4122
776	14297	4103
777	14315	4084
778	14333	4066
779	14352	4048
780	14370	4029
781	14388	4011
782	14405	3992
783	14422	3973
784	14440	3955
785	14457	3936
786	14475	3917
787	14492	3899
788	14510	3880
789	14528	3862
790	14546	3843
791	14565	3825
792	14584	3807
793	14601	3788
794	14619	3769
795	14637	3751
796	14655	3732
797	14673	3714
798	14690	3695
799	14707	3676
800	14725	3658
801	14742	3639
802	14760	3621
803	14779	3602
804	14797	3584
805	14816	3566
806	14833	3547
807	14850	3528
808	14868	3510
809	14886	3491
810	14904	3473
811	14922	3455
812	14941	3436
813	14958	3418
814	14976	3399
815	14995	3381
816	15013	3362
817	15031	3344
818	15049	3325
819	15066	3307
820	15082	3288
821	15099	3269
822	15117	3251
823	15135	3232
824	15154	3214
825	15172	3196
826	15189	3177
827	15207	3159
828	15227	3140
829	15245	3122
830	15263	3104
831	15281	3085
832	15298	3067
833	15316	3048
834	15334	3030
835	15351	3011
836	15369	2993
837	15385	2974
838	15404	2956
839	15422	2937
840	15441	2919
841	15459	2900
842	15477	2882
843	15495	2864
844	15516	2846
845	15536	2828
846	15557	2810
847	15578	2792
848	15597	2774
849	15616	2755
850	15634	2737
851	15653	2719
852	15671	2700
853	15689	2682
854	15706	2663
855	15724	2645
856	15742	2626
857	15760	2608
858	15778	2589
859	15796	2571
860	15814	2553
861	15832	2534
862	15849	2516
863	15870	2498
864	15888	2479
865	15906	2461
866	15924	2442
867	15942	2424
868	15960	2405
869	15978	2387
870	15995	2369
871	16012	2350
872	16031	2332
873	16048	2313
874	16066	2295
875	16084	2276
876	16102	2258
877	16121	2240
878	16138	2221
879	16156	2203
880	16174	2184
881	16191	2166
882	16208	2147
883	16227	2129
884	16245	2111
885	16263	2092
886	16279	2073
887	16299	2055
888	16318	2037
889	16336	2019
890	16353	2000
891	16371	1982
892	16389	1963
893	16406	1945
894	16424	1926
895	16442	1908
896	16459	1889
897	16476	1871
898	16494	1853
899	16512	1834
900	16530	1816
901	16548	1797
902	16566	1779
903	16583	1761
904	16602	1742
905	16620	1724
906	16637	1705
907	16655	1687
908	16672	1669
909	16689	1650
910	16707	1632
911	16730	1614
912	16749	1596
913	16767	1577
914	16784	1559
915	16802	1540
916	16819	1522
917	16837	1503
918	16855	1485
919	16872	1467
920	16891	1448
921	16909	1430
922	16929	1412
923	16947	1393
924	16965	1375
925	16982	1357
926	17000	1338
927	17017	1320
928	17035	1301
929	17052	1283
930	17069	1265
931	17087	1246
932	17105	1228
933	17124	1210
934	17143	1191
935	17162	1173
936	17179	1155
937	17196	1136
938	17213	1118
939	17231	1099
940	17248	1081
941	17265	1063
942	17283	1044
943	17301	1026
944	17319	1008
945	17337	989
946	17357	971
947	17375	953
948	17392	934
949	17410	916
950	17428	897
951	17446	879
952	17463	861
953	17481	842
954	17498	824
955	17516	806
956	17533	787
957	17551	769
958	17569	751
959	17586	732
960	17604	714
961	17621	696
962	17640	677
963	17657	659
964	17674	641
965	17691	622
966	17709	604
967	17727	586
968	17745	567
969	17763	549
970	17781	531
971	17798	512
972	17815	494
973	17833	476
974	17851	457
975	17868	439
976	17886	421
977	17905	402
978	17923	384
979	17941	366
980	17958	347
981	17976	329
982	17995	311
983	18013	292
984	18031	274
985	18048	256
986	18065	237
987	18082	219
988	18100	201
989	18117	183
990	18137	164
991	18154	146
992	18171	128
993	18191	109
994	18209	91
995	18227	73
996	18245	54
997	18262	36
998	18280	18
999	18297	0
